route_id,route_name,avg_daily_riders,pct_corridor_no_car,cut_type,neighborhoods_served,is_persona_a_route,is_persona_b_route
074,74 - HOMEWOOD-SQUIRREL HILL,676.5,48.7,reduced,"Lincoln-Lemington-Belmar, Point Breeze, Homewood North, Squirrel Hill North, Larimer, East Liberty, Point Breeze North, Squirrel Hill South, Shadyside, Homewood South",false,true
075,75 - ELLSWORTH,2610.5,54.9,reduced,"East Liberty, Shadyside, Larimer, North Oakland, Central Oakland, West Oakland, South Side Flats, South Oakland, Highland Park, Morningside, Lincoln-Lemington-Belmar",false,false
077,77 - PENN HILLS,1188.8,48.1,reduced,"Shadyside, East Liberty, Homewood North, Bloomfield, Homewood South, Larimer, East Hills, Homewood West, Friendship, North Oakland, Polish Hill, Central Business District",false,false
081,81 - OAK HILL,1306.8,65.0,reduced,"Terrace Village, Crawford-Roberts, West Oakland, Middle Hill, South Oakland, North Oakland, Central Oakland, Central Business District, Bluff, South Side Flats",false,false
082,82 - LINCOLN,3390.8,54.2,reduced,"Shadyside, Terrace Village, East Liberty, Lincoln-Lemington-Belmar, Middle Hill, Crawford-Roberts, Larimer, Upper Hill, Bloomfield, Homewood West, North Oakland, Friendship, Homewood North, Bluff, Central Business District",false,false
083,83 - BEDFORD HILL,1685.6,60.4,reduced,"Terrace Village, Middle Hill, West Oakland, North Oakland, Bedford Dwellings, Crawford-Roberts, Upper Hill, Central Oakland, South Oakland, Bluff, Central Business District, South Side Flats",false,false
086,86 - LIBERTY,1834.3,44.7,reduced,"Shadyside, East Liberty, Bloomfield, Homewood South, Strip District, Homewood North, Larimer, Polish Hill, Lower Lawrenceville, Homewood West, East Hills, Friendship, Central Business District",false,false
087,87 - FRIENDSHIP,1232.3,47.0,reduced,"Stanton Heights, Garfield, Morningside, Central Lawrenceville, Highland Park, Upper Lawrenceville, Bloomfield, East Liberty, Strip District, Polish Hill, Lower Lawrenceville, Friendship, Central Business District",false,false
088,88 - PENN,1179.4,49.8,reduced,"Bloomfield, Strip District, Garfield, Central Lawrenceville, East Liberty, Lower Lawrenceville, Shadyside, Friendship, Polish Hill, Central Business District, Point Breeze North",false,true
091,91 - BUTLER STREET,2182.4,44.1,reduced,"Central Lawrenceville, Strip District, Lower Lawrenceville, Upper Lawrenceville, Lincoln-Lemington-Belmar, Polish Hill, Stanton Heights, Central Business District",false,false
093,93 - LAWRENCEVILLE - HAZELWOOD,1577.0,55.7,reduced,"Hazelwood, Squirrel Hill South, Greenfield, Central Lawrenceville, Glen Hazel, North Oakland, Central Oakland, South Oakland, Upper Lawrenceville, Bloomfield, Lower Lawrenceville, West Oakland",false,false
BLLB,BLUE LINE - LIBRARY,0.0,28.0,reduced,None (see geography note),false,false
BLSV,BLUE LINE - SOUTH HILLS VILLAGE,0.0,28.0,reduced,None (see geography note),false,false
BLUE,BLUE - SouthHills Village via Overbrook,2942.6,33.4,reduced,"Central Business District, Brookline, Bon Air, Mount Washington, Beltzhoover, Carrick, Overbrook, North Shore, South Shore",false,false
G2,G2 - WEST BUSWAY,1400.1,59.6,reduced,"Central Business District, South Shore, Oakwood, Sheraden, Elliott",false,false
P1,P1 - EAST BUSWAY-ALL STOPS,4694.6,41.7,reduced,"Central Business District, Shadyside, Homewood South, Point Breeze North, Polish Hill",false,false
P3,P3 - EAST BUSWAY-OAKLAND,1767.8,57.6,reduced,"North Oakland, Shadyside, Central Oakland, West Oakland, Bloomfield, South Oakland, Homewood South, Point Breeze North",false,false
P68,P68 - BRADDOCK HILLS FLYER,1267.8,41.7,reduced,"Central Business District, Shadyside, Homewood South, Point Breeze North, Polish Hill",false,false
P78,P78 - OAKMONT FLYER,785.0,41.7,reduced,"Central Business District, Shadyside, Homewood South, Point Breeze North, Polish Hill",false,false
RED,RED - Castle Shannon via Beechview,4267.1,37.5,reduced,"Beechview, Central Business District, Mount Washington, North Shore, South Shore",false,false
Y46,Y46 - ELIZABETH FLYER,886.0,34.5,reduced,"Overbrook, Brookline, Mount Washington, Central Business District, South Shore",false,false
015,15 - CHARLES,694.2,37.2,unchanged,"Perry South, Perry North, Central Northside, Allegheny Center, California-Kirkbride, East Allegheny, Summer Hill, Central Business District, North Shore",false,false
089,89 - GARFIELD COMMONS,198.4,50.3,unchanged,"Garfield, East Liberty, Shadyside, Stanton Heights, Point Breeze North",false,true
